Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/15/14,20:50,Quack,animaletc,10mOrBefore,0to3y,female
6/15/14,22:19,Heron,animaletc,14mOrLater,7to12y,female
6/16/14,9:20,Mum-Mum,animaletc,10mOrBefore,13plusy,female
6/16/14,9:23,Poe-Poe,action,11m,13plusy,female
6/16/14,15:25,No,animaletc,10mOrBefore,4to6y,female
6/16/14,16:02,Hi,person,10mOrBefore,13plusy,female
6/16/14,20:42,Uh-Oh,action,11m,0to3y,female
6/17/14,21:02,Milk,animaletc,dontremember,0to3y,female
6/18/14,10:49,Duck,action,10mOrBefore,7to12y,female
6/19/14,19:04,Woof,animaletc,12m,7to12y,female
6/19/14,21:40,Dog,animaletc,11m,4to6y,female
