Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/11/14,14:02,Asterix,animaletc,12m,0to3y,female
6/11/14,14:04,Apple,animaletc,10mOrBefore,7to12y,female
6/11/14,14:07,Cow,animaletc,10mOrBefore,4to6y,male
6/11/14,14:09,Ball,animaletc,10mOrBefore,7to12y,male
6/11/14,14:08,Dow ,animaletc,10mOrBefore,4to6y,male
6/11/14,14:09,Hi,other,10mOrBefore,0to3y,male
6/11/14,14:12,Ball,animaletc,11m,4to6y,female
6/11/14,14:12,Oh Cool,animaletc,10mOrBefore,4to6y,male
6/11/14,14:13,Cat,animaletc,14mOrLater,0to3y,female
6/11/14,14:12,Dat ,animaletc,11m,0to3y,male
6/11/14,14:17,Hi,action,13m,0to3y,female
6/11/14,14:18,Water,animaletc,10mOrBefore,0to3y,female
6/11/14,14:19,Boobie,action,10mOrBefore,0to3y,female
6/11/14,14:17,Light,animaletc,10mOrBefore,0to3y,male
6/11/14,14:19,All Done ,action,14mOrLater,0to3y,male
6/11/14,14:24,Doggy,animaletc,dontremember,4to6y,male
6/11/14,14:25,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,14:28,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,14:36,Dada,person,10mOrBefore,0to3y,female
6/11/14,14:31,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,14:38,Car,animaletc,10mOrBefore,0to3y,male
6/11/14,14:38,Ball,animaletc,10mOrBefore,4to6y,male
6/11/14,14:38,Ball,animaletc,10mOrBefore,7to12y,male
6/11/14,14:38,Okay,action,14mOrLater,4to6y,female
6/11/14,14:42,Tiger,animaletc,11m,4to6y,male
6/11/14,14:42,The Pet Cat's Name,animaletc,10mOrBefore,4to6y,male
6/11/14,14:50,Uh-Oh,other,10mOrBefore,0to3y,male
6/11/14,14:48,Ball,animaletc,13m,0to3y,male
6/11/14,14:54,Ball,animaletc,12m,7to12y,female
6/11/14,14:54,Open Close,action,10mOrBefore,0to3y,male
6/11/14,15:03,Hi,other,10mOrBefore,7to12y,female
6/11/14,15:04,Hi,,12m,0to3y,female
6/11/14,15:03,Owl,animaletc,12m,0to3y,female
6/11/14,15:08,Bow,animaletc,11m,4to6y,male
6/11/14,15:13,Hi,person,10mOrBefore,0to3y,female
6/11/14,15:11,Banana,animaletc,10mOrBefore,4to6y,male
6/11/14,14:51,Uh-Oh,action,11m,0to3y,female
6/11/14,15:14,Vroom ,action,11m,0to3y,female
6/11/14,15:17,Bye Bye,action,10mOrBefore,0to3y,female
6/11/14,15:12,Baby,person,10mOrBefore,4to6y,female
6/11/14,15:19,No,action,13m,7to12y,male
6/11/14,15:20,That,action,14mOrLater,4to6y,male
6/11/14,15:27,Ball,animaletc,dontremember,0to3y,female
6/11/14,15:35,Ball,animaletc,12m,4to6y,male
6/11/14,15:34,Grandma,person,10mOrBefore,4to6y,male
6/11/14,15:40,Hi,other,10mOrBefore,0to3y,female
6/11/14,15:41,Light ,,dontremember,13plusy,female
6/11/14,15:40,Aaji,person,10mOrBefore,0to3y,female
6/11/14,15:42,Bubble,animaletc,dontremember,0to3y,male
6/11/14,15:44,Allah Akbar ,other,13m,0to3y,male
6/12/14,4:23,Light,animaletc,10mOrBefore,4to6y,male
6/11/14,15:57,Car,animaletc,11m,0to3y,female
6/11/14,15:56,Shoe,animaletc,14mOrLater,0to3y,male
6/11/14,16:02,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,16:17,Nana,animaletc,14mOrLater,0to3y,female
6/11/14,16:21,Go,action,12m,0to3y,male
6/11/14,16:23,Hi,other,10mOrBefore,0to3y,female
6/11/14,16:17,Baba ,animaletc,10mOrBefore,7to12y,male
6/11/14,16:26,Uh-Oh,action,10mOrBefore,0to3y,female
6/11/14,16:25,Good,action,14mOrLater,0to3y,male
6/11/14,15:58,Uh-Oh,action,12m,0to3y,male
6/11/14,16:30,Dada,person,10mOrBefore,0to3y,male
6/11/14,16:34,Kee Ka ,animaletc,11m,7to12y,male
6/11/14,16:35,No,other,11m,4to6y,female
